Model,Organism,Subsystem,Frac_RXNS,Frac_TICs
iAF692,Methanosarcina barkeri str. Fusaro,"Nucelotide Metabolism",0.566666666666667,0.25
iAF692,Methanosarcina barkeri str. Fusaro,"Other",0.0333333333333333,0.0576923076923077
iAF692,Methanosarcina barkeri str. Fusaro,"Transport",0.0666666666666667,0.0192307692307692
iAF692,Methanosarcina barkeri str. Fusaro,"dATP Biosynthesis",0.166666666666667,0.307692307692308
iAF987,Geobacter metallireducens GS-15,"Amino Acid Metabolism",0.0625,0.00625
iAF987,Geobacter metallireducens GS-15,"Aromatic Compound degradation",0.125,0.1125
iAF987,Geobacter metallireducens GS-15,"Carbohydrate Metabolism",0.0625,0.00625
iAF987,Geobacter metallireducens GS-15,"Central Metabolism",0.4375,0.3
iAF987,Geobacter metallireducens GS-15,"Energy Metabolism",0.0625,0.0125
iAF987,Geobacter metallireducens GS-15,"Nucelotide Metabolism",0.125,0.28125
iAF987,Geobacter metallireducens GS-15,"Other",0.0625,0.275
iAF987,Geobacter metallireducens GS-15,"Transport Outer Membrane Porin",0.0625,0.00625
iAPECO1_1312,Escherichia coli APEC O1,"Alanine, Aspartate, and Glutamate Metabolism",0.0161290322580645,0.0222222222222222
iAPECO1_1312,Escherichia coli APEC O1,"Alternate Carbon Metabolism",0.0806451612903226,0.0333333333333333
iAPECO1_1312,Escherichia coli APEC O1,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0161290322580645,0.0222222222222222
iAPECO1_1312,Escherichia coli APEC O1,"Citrate cycle (TCA cycle)",0.0161290322580645,0.0333333333333333
iAPECO1_1312,Escherichia coli APEC O1,"Cofactor and Prosthetic Group Biosynthesis",0.0241935483870968,0.0333333333333333
iAPECO1_1312,Escherichia coli APEC O1,"Exchange",0.00806451612903226,0.0111111111111111
iAPECO1_1312,Escherichia coli APEC O1,"Folate Biosynthesis",0.0161290322580645,0.00555555555555556
iAPECO1_1312,Escherichia coli APEC O1,"Glycolysis and Gluconeogenesis",0.0483870967741935,0.0166666666666667
iAPECO1_1312,Escherichia coli APEC O1,"Histidine Biosynthesis",0.00806451612903226,0.0166666666666667
iAPECO1_1312,Escherichia coli APEC O1,"Inorganic Ion Transport and Metabolism",0.0241935483870968,0.111111111111111
iAPECO1_1312,Escherichia coli APEC O1,"Membrane Lipid Metabolism",0.225806451612903,0.144444444444444
iAPECO1_1312,Escherichia coli APEC O1,"Nucleotide Salvage Pathway",0.032258064516129,0.0444444444444444
iAPECO1_1312,Escherichia coli APEC O1,"Oxidative Phosphorylation",0.00806451612903226,0.0277777777777778
iAPECO1_1312,Escherichia coli APEC O1,"Purine and Pyrimidine Biosynthesis",0.0241935483870968,0.0166666666666667
iAPECO1_1312,Escherichia coli APEC O1,"Pyruvate Metabolism",0.0241935483870968,0.0166666666666667
iAPECO1_1312,Escherichia coli APEC O1,"Transport",0.032258064516129,0.0833333333333333
iAPECO1_1312,Escherichia coli APEC O1,"Transport Outer Membrane Porin",0.362903225806452,0.244444444444444
iAPECO1_1312,Escherichia coli APEC O1,"Transport, ABC system",0.0241935483870968,0.0277777777777778
iAPECO1_1312,Escherichia coli APEC O1,"Transport, Outer Membrane",0.00806451612903226,0.00555555555555556
iB21_1397,Escherichia coli BL21(DE3),"Alanine, Aspartate, and Glutamate Metabolism",0.0175438596491228,0.0283687943262411
iB21_1397,Escherichia coli BL21(DE3),"Alternate Carbon Metabolism",0.105263157894737,0.0567375886524823
iB21_1397,Escherichia coli BL21(DE3),"Amino acid metabolism: Phenylalanine, Tyrosine, Tryptophan biosynthesis",0.0087719298245614,0.00709219858156028
iB21_1397,Escherichia coli BL21(DE3),"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0175438596491228,0.0283687943262411
iB21_1397,Escherichia coli BL21(DE3),"Citrate cycle (TCA cycle)",0.0087719298245614,0.00709219858156028
iB21_1397,Escherichia coli BL21(DE3),"Cofactor and Prosthetic Group Biosynthesis",0.0175438596491228,0.00709219858156028
iB21_1397,Escherichia coli BL21(DE3),"Exchange",0.0175438596491228,0.0212765957446809
iB21_1397,Escherichia coli BL21(DE3),"Folate Biosynthesis",0.0175438596491228,0.00709219858156028
iB21_1397,Escherichia coli BL21(DE3),"Glycolysis and Gluconeogenesis",0.0526315789473684,0.0212765957446809
iB21_1397,Escherichia coli BL21(DE3),"Histidine Biosynthesis",0.0087719298245614,0.0212765957446809
iB21_1397,Escherichia coli BL21(DE3),"Inorganic Ion Transport and Metabolism",0.0263157894736842,0.141843971631206
iB21_1397,Escherichia coli BL21(DE3),"Membrane Lipid Metabolism",0.192982456140351,0.0780141843971631
iB21_1397,Escherichia coli BL21(DE3),"Nucleotide Salvage Pathway",0.0350877192982456,0.0567375886524823
iB21_1397,Escherichia coli BL21(DE3),"Oxidative Phosphorylation",0.0087719298245614,0.0354609929078014
iB21_1397,Escherichia coli BL21(DE3),"Purine and Pyrimidine Biosynthesis",0.0263157894736842,0.0212765957446809
iB21_1397,Escherichia coli BL21(DE3),"Pyruvate Metabolism",0.0263157894736842,0.0212765957446809
iB21_1397,Escherichia coli BL21(DE3),"Transport",0.0350877192982456,0.106382978723404
iB21_1397,Escherichia coli BL21(DE3),"Transport Outer Membrane Porin",0.342105263157895,0.290780141843972
iB21_1397,Escherichia coli BL21(DE3),"Transport, ABC system",0.0263157894736842,0.0354609929078014
iB21_1397,Escherichia coli BL21(DE3),"Transport, Outer Membrane",0.0087719298245614,0.00709219858156028
iBWG_1329,Escherichia coli BW2952,"Alanine, Aspartate, and Glutamate Metabolism",0.0172413793103448,0.0285714285714286
iBWG_1329,Escherichia coli BW2952,"Alternate Carbon Metabolism",0.0862068965517241,0.0428571428571429
iBWG_1329,Escherichia coli BW2952,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0172413793103448,0.0285714285714286
iBWG_1329,Escherichia coli BW2952,"Citrate cycle (TCA cycle)",0.00862068965517241,0.00714285714285714
iBWG_1329,Escherichia coli BW2952,"Cofactor and Prosthetic Group Biosynthesis",0.0172413793103448,0.00714285714285714
iBWG_1329,Escherichia coli BW2952,"Exchange",0.00862068965517241,0.0142857142857143
iBWG_1329,Escherichia coli BW2952,"Folate Biosynthesis",0.0172413793103448,0.00714285714285714
iBWG_1329,Escherichia coli BW2952,"Glycolysis and Gluconeogenesis",0.0517241379310345,0.0214285714285714
iBWG_1329,Escherichia coli BW2952,"Histidine Biosynthesis",0.00862068965517241,0.0214285714285714
iBWG_1329,Escherichia coli BW2952,"Inorganic Ion Transport and Metabolism",0.0258620689655172,0.142857142857143
iBWG_1329,Escherichia coli BW2952,"Membrane Lipid Metabolism",0.189655172413793,0.0785714285714286
iBWG_1329,Escherichia coli BW2952,"Nucleotide Salvage Pathway",0.0344827586206897,0.0571428571428571
iBWG_1329,Escherichia coli BW2952,"Oxidative Phosphorylation",0.00862068965517241,0.0357142857142857
iBWG_1329,Escherichia coli BW2952,"Purine and Pyrimidine Biosynthesis",0.0258620689655172,0.0214285714285714
iBWG_1329,Escherichia coli BW2952,"Pyruvate Metabolism",0.0258620689655172,0.0214285714285714
iBWG_1329,Escherichia coli BW2952,"Transport",0.0344827586206897,0.107142857142857
iBWG_1329,Escherichia coli BW2952,"Transport Outer Membrane Porin",0.387931034482759,0.314285714285714
iBWG_1329,Escherichia coli BW2952,"Transport, ABC system",0.0258620689655172,0.0357142857142857
iBWG_1329,Escherichia coli BW2952,"Transport, Outer Membrane",0.00862068965517241,0.00714285714285714
iCN718,Acinetobacter baumannii AYE,"Alanine and aspartate metabolism",0.0131578947368421,0.018346923647146
iCN718,Acinetobacter baumannii AYE,"Amino acid metabolism: Phenylalanine, Tyrosine, Tryptophan biosynthesis",0.0263157894736842,0.000185322461082283
iCN718,Acinetobacter baumannii AYE,"Arginine and Proline Metabolism",0.0131578947368421,0.022238695329874
iCN718,Acinetobacter baumannii AYE,"Butanoate metabolism",0.0394736842105263,0.0322461082283173
iCN718,Acinetobacter baumannii AYE,"Fatty acid metabolism",0.0657894736842105,0.124536693847294
iCN718,Acinetobacter baumannii AYE,"Folate Biosynthesis",0.0394736842105263,0.0213120830244626
iCN718,Acinetobacter baumannii AYE,"Glutamate and glutamin metabolism",0.0263157894736842,0.018346923647146
iCN718,Acinetobacter baumannii AYE,"Glycerophospholipid Metabolism",0.0394736842105263,0.0244625648628614
iCN718,Acinetobacter baumannii AYE,"Glycolysis/ Gluconeogenesis",0.0657894736842105,0.0439214232765011
iCN718,Acinetobacter baumannii AYE,"Glyoxylate and dicarboxylate metabolism",0.0263157894736842,0.0170496664195701
iCN718,Acinetobacter baumannii AYE,"Lysine biosynthesis",0.0263157894736842,0.0170496664195701
iCN718,Acinetobacter baumannii AYE,"Methionine metabolism",0.0131578947368421,0.0302075611564122
iCN718,Acinetobacter baumannii AYE,"Nicotinate Biosynthesis",0.0394736842105263,0.0355819125277984
iCN718,Acinetobacter baumannii AYE,"Nitrogen Metabolism",0.0526315789473684,0.0509636767976279
iCN718,Acinetobacter baumannii AYE,"One carbon pool by folate",0.0789473684210526,0.054299481097109
iCN718,Acinetobacter baumannii AYE,"Oxidative phosphorylation",0.0394736842105263,0.065418828762046
iCN718,Acinetobacter baumannii AYE,"PI_transport",0.0131578947368421,0.000185322461082283
iCN718,Acinetobacter baumannii AYE,"Propanoate metabolism",0.0526315789473684,0.0900667160859896
iCN718,Acinetobacter baumannii AYE,"Purine and Pyrimidine Biosynthesis",0.0394736842105263,0.0311341734618236
iCN718,Acinetobacter baumannii AYE,"Purine metabolism (De novo)",0.0131578947368421,0.00166790214974055
iCN718,Acinetobacter baumannii AYE,"Pyruvate Metabolism",0.105263157894737,0.0828391401037806
iCN718,Acinetobacter baumannii AYE,"S_Coenzymes_and_prosthetic_groups",0.0131578947368421,0.0213120830244626
iCN718,Acinetobacter baumannii AYE,"Selenoamino acid metabolism",0.0263157894736842,0.000926612305411416
iCN718,Acinetobacter baumannii AYE,"TCA cycle",0.0657894736842105,0.111008154188288
iCN718,Acinetobacter baumannii AYE,"Urea cycle and metabolism of amino groups",0.0394736842105263,0.0376204595997035
iCN718,Acinetobacter baumannii AYE,"Valine, leucine and isoleucine biosynthesis",0.0131578947368421,0.000370644922164566
iCN718,Acinetobacter baumannii AYE,"Valine, leucine and isoleucine degradation",0.0131578947368421,0.000370644922164566
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Alanine, Aspartate, and Glutamate Metabolism",0.0166666666666667,0.0256410256410256
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Alternate Carbon Metabolism",0.0916666666666667,0.0641025641025641
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0166666666666667,0.0256410256410256
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Citrate cycle (TCA cycle)",0.00833333333333333,0.00641025641025641
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Cofactor and Prosthetic Group Biosynthesis",0.0166666666666667,0.00641025641025641
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Exchange",0.00833333333333333,0.0128205128205128
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Folate Biosynthesis",0.0166666666666667,0.00641025641025641
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Glycolysis and Gluconeogenesis",0.05,0.0192307692307692
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Histidine Biosynthesis",0.00833333333333333,0.0192307692307692
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Inorganic Ion Transport and Metabolism",0.025,0.128205128205128
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Membrane Lipid Metabolism",0.183333333333333,0.0705128205128205
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Nucleotide Salvage Pathway",0.0333333333333333,0.0512820512820513
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Oxidative Phosphorylation",0.00833333333333333,0.032051282051282
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Purine and Pyrimidine Biosynthesis",0.025,0.0192307692307692
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Pyruvate Metabolism",0.025,0.0192307692307692
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Transport",0.0333333333333333,0.0961538461538462
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Transport Inner Membrane",0.00833333333333333,0.0256410256410256
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Transport Outer Membrane Porin",0.383333333333333,0.307692307692308
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Transport, ABC system",0.0333333333333333,0.0576923076923077
iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,"Transport, Outer Membrane",0.00833333333333333,0.00641025641025641
iEC042_1314,Escherichia coli 042,"Alanine, Aspartate, and Glutamate Metabolism",0.0188679245283019,0.0300751879699248
iEC042_1314,Escherichia coli 042,"Alternate Carbon Metabolism",0.0943396226415094,0.0451127819548872
iEC042_1314,Escherichia coli 042,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0188679245283019,0.0300751879699248
iEC042_1314,Escherichia coli 042,"Citrate cycle (TCA cycle)",0.00943396226415094,0.0075187969924812
iEC042_1314,Escherichia coli 042,"Cofactor and Prosthetic Group Biosynthesis",0.0188679245283019,0.0075187969924812
iEC042_1314,Escherichia coli 042,"Folate Biosynthesis",0.0188679245283019,0.0075187969924812
iEC042_1314,Escherichia coli 042,"Glycolysis and Gluconeogenesis",0.0566037735849057,0.0225563909774436
iEC042_1314,Escherichia coli 042,"Histidine Biosynthesis",0.00943396226415094,0.0225563909774436
iEC042_1314,Escherichia coli 042,"Inorganic Ion Transport and Metabolism",0.0283018867924528,0.150375939849624
iEC042_1314,Escherichia coli 042,"Membrane Lipid Metabolism",0.207547169811321,0.0827067669172932
iEC042_1314,Escherichia coli 042,"Nucleotide Salvage Pathway",0.0377358490566038,0.0601503759398496
iEC042_1314,Escherichia coli 042,"Oxidative Phosphorylation",0.00943396226415094,0.037593984962406
iEC042_1314,Escherichia coli 042,"Purine and Pyrimidine Biosynthesis",0.0283018867924528,0.0225563909774436
iEC042_1314,Escherichia coli 042,"Pyruvate Metabolism",0.0283018867924528,0.0225563909774436
iEC042_1314,Escherichia coli 042,"Transport",0.0377358490566038,0.112781954887218
iEC042_1314,Escherichia coli 042,"Transport Outer Membrane Porin",0.339622641509434,0.293233082706767
iEC042_1314,Escherichia coli 042,"Transport, ABC system",0.0283018867924528,0.037593984962406
iEC042_1314,Escherichia coli 042,"Transport, Outer Membrane",0.00943396226415094,0.0075187969924812
iEC55989_1330,Escherichia coli 55989,"Alanine, Aspartate, and Glutamate Metabolism",0.0172413793103448,0.0285714285714286
iEC55989_1330,Escherichia coli 55989,"Alternate Carbon Metabolism",0.0862068965517241,0.0428571428571429
iEC55989_1330,Escherichia coli 55989,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0172413793103448,0.0285714285714286
iEC55989_1330,Escherichia coli 55989,"Citrate cycle (TCA cycle)",0.00862068965517241,0.00714285714285714
iEC55989_1330,Escherichia coli 55989,"Cofactor and Prosthetic Group Biosynthesis",0.0172413793103448,0.00714285714285714
iEC55989_1330,Escherichia coli 55989,"Exchange",0.00862068965517241,0.0142857142857143
iEC55989_1330,Escherichia coli 55989,"Folate Biosynthesis",0.0172413793103448,0.00714285714285714
iEC55989_1330,Escherichia coli 55989,"Glycolysis and Gluconeogenesis",0.0517241379310345,0.0214285714285714
iEC55989_1330,Escherichia coli 55989,"Histidine Biosynthesis",0.00862068965517241,0.0214285714285714
iEC55989_1330,Escherichia coli 55989,"Inorganic Ion Transport and Metabolism",0.0258620689655172,0.142857142857143
iEC55989_1330,Escherichia coli 55989,"Membrane Lipid Metabolism",0.189655172413793,0.0785714285714286
iEC55989_1330,Escherichia coli 55989,"Nucleotide Salvage Pathway",0.0344827586206897,0.0571428571428571
iEC55989_1330,Escherichia coli 55989,"Oxidative Phosphorylation",0.00862068965517241,0.0357142857142857
iEC55989_1330,Escherichia coli 55989,"Purine and Pyrimidine Biosynthesis",0.0258620689655172,0.0214285714285714
iEC55989_1330,Escherichia coli 55989,"Pyruvate Metabolism",0.0258620689655172,0.0214285714285714
iEC55989_1330,Escherichia coli 55989,"Transport",0.0344827586206897,0.107142857142857
iEC55989_1330,Escherichia coli 55989,"Transport Outer Membrane Porin",0.387931034482759,0.314285714285714
iEC55989_1330,Escherichia coli 55989,"Transport, ABC system",0.0258620689655172,0.0357142857142857
iEC55989_1330,Escherichia coli 55989,"Transport, Outer Membrane",0.00862068965517241,0.00714285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Alanine, Aspartate, and Glutamate Metabolism",0.0172413793103448,0.0285714285714286
iECABU_c1320,Escherichia coli ABU 83972,"Alternate Carbon Metabolism",0.0862068965517241,0.0428571428571429
iECABU_c1320,Escherichia coli ABU 83972,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0172413793103448,0.0285714285714286
iECABU_c1320,Escherichia coli ABU 83972,"Citrate cycle (TCA cycle)",0.00862068965517241,0.00714285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Cofactor and Prosthetic Group Biosynthesis",0.0172413793103448,0.00714285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Exchange",0.00862068965517241,0.0142857142857143
iECABU_c1320,Escherichia coli ABU 83972,"Folate Biosynthesis",0.0172413793103448,0.00714285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Glycolysis and Gluconeogenesis",0.0517241379310345,0.0214285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Histidine Biosynthesis",0.00862068965517241,0.0214285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Inorganic Ion Transport and Metabolism",0.0258620689655172,0.142857142857143
iECABU_c1320,Escherichia coli ABU 83972,"Membrane Lipid Metabolism",0.189655172413793,0.0785714285714286
iECABU_c1320,Escherichia coli ABU 83972,"Nucleotide Salvage Pathway",0.0344827586206897,0.0571428571428571
iECABU_c1320,Escherichia coli ABU 83972,"Oxidative Phosphorylation",0.00862068965517241,0.0357142857142857
iECABU_c1320,Escherichia coli ABU 83972,"Purine and Pyrimidine Biosynthesis",0.0258620689655172,0.0214285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Pyruvate Metabolism",0.0258620689655172,0.0214285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Transport",0.0344827586206897,0.107142857142857
iECABU_c1320,Escherichia coli ABU 83972,"Transport Outer Membrane Porin",0.387931034482759,0.314285714285714
iECABU_c1320,Escherichia coli ABU 83972,"Transport, ABC system",0.0258620689655172,0.0357142857142857
iECABU_c1320,Escherichia coli ABU 83972,"Transport, Outer Membrane",0.00862068965517241,0.00714285714285714
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Alanine, Aspartate, and Glutamate Metabolism",0.0175438596491228,0.0283687943262411
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Alternate Carbon Metabolism",0.105263157894737,0.0567375886524823
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Amino acid metabolism: Phenylalanine, Tyrosine, Tryptophan biosynthesis",0.0087719298245614,0.00709219858156028
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0175438596491228,0.0283687943262411
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Citrate cycle (TCA cycle)",0.0087719298245614,0.00709219858156028
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Cofactor and Prosthetic Group Biosynthesis",0.0175438596491228,0.00709219858156028
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Exchange",0.0175438596491228,0.0212765957446809
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Folate Biosynthesis",0.0175438596491228,0.00709219858156028
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Glycolysis and Gluconeogenesis",0.0526315789473684,0.0212765957446809
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Histidine Biosynthesis",0.0087719298245614,0.0212765957446809
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Inorganic Ion Transport and Metabolism",0.0263157894736842,0.141843971631206
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Membrane Lipid Metabolism",0.192982456140351,0.0780141843971631
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Nucleotide Salvage Pathway",0.0350877192982456,0.0567375886524823
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Oxidative Phosphorylation",0.0087719298245614,0.0354609929078014
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Purine and Pyrimidine Biosynthesis",0.0263157894736842,0.0212765957446809
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Pyruvate Metabolism",0.0263157894736842,0.0212765957446809
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Transport",0.0350877192982456,0.106382978723404
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Transport Outer Membrane Porin",0.342105263157895,0.290780141843972
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Transport, ABC system",0.0263157894736842,0.0354609929078014
iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',"Transport, Outer Membrane",0.0087719298245614,0.00709219858156028
iECB_1328,Escherichia coli B str. REL606,"Alanine, Aspartate, and Glutamate Metabolism",0.0175438596491228,0.0283687943262411
iECB_1328,Escherichia coli B str. REL606,"Alternate Carbon Metabolism",0.105263157894737,0.0567375886524823
iECB_1328,Escherichia coli B str. REL606,"Amino acid metabolism: Phenylalanine, Tyrosine, Tryptophan biosynthesis",0.0087719298245614,0.00709219858156028
iECB_1328,Escherichia coli B str. REL606,"Amino acid metabolism: Valine, Leucine and Isoleucine biosynthesis",0.0175438596491228,0.0283687943262411
iECB_1328,Escherichia coli B str. REL606,"Citrate cycle (TCA cycle)",0.0087719298245614,0.00709219858156028
iECB_1328,Escherichia coli B str. REL606,"Cofactor and Prosthetic Group Biosynthesis",0.0175438596491228,0.00709219858156028
iECB_1328,Escherichia coli B str. REL606,"Exchange",0.0175438596491228,0.0212765957446809
iECB_1328,Escherichia coli B str. REL606,"Folate Biosynthesis",0.0175438596491228,0.00709219858156028
iECB_1328,Escherichia coli B str. REL606,"Glycolysis and Gluconeogenesis",0.0526315789473684,0.0212765957446809
iECB_1328,Escherichia coli B str. REL606,"Histidine Biosynthesis",0.0087719298245614,0.0212765957446809
iECB_1328,Escherichia coli B str. REL606,"Inorganic Ion Transport and Metabolism",0.0263157894736842,0.141843971631206
iECB_1328,Escherichia coli B str. REL606,"Membrane Lipid Metabolism",0.192982456140351,0.0780141843971631
iECB_1328,Escherichia coli B str. REL606,"Nucleotide Salvage Pathway",0.0350877192982456,0.0567375886524823
iECB_1328,Escherichia coli B str. REL606,"Oxidative Phosphorylation",0.0087719298245614,0.0354609929078014
iECB_1328,Escherichia coli B str. REL606,"Purine and Pyrimidine Biosynthesis",0.0263157894736842,0.0212765957446809
iECB_1328,Escherichia coli B str. REL606,"Pyruvate Metabolism",0.0263157894736842,0.0212765957446809
iECB_1328,Escherichia coli B str. REL606,"Transport",0.0350877192982456,0.106382978723404
